2023-09-28 17:06: attention_dropout: 0.3
2023-09-28 17:06: batch_size: 128
2023-09-28 17:06: cuda: True
2023-09-28 17:06: dataset: 'ogbn-products'
2023-09-28 17:06: debug: False
2023-09-28 17:06: device: 'cuda:2'
2023-09-28 17:06: dropout: 0.5
2023-09-28 17:06: encoder_attention_heads: 8
2023-09-28 17:06: encoder_embed_dim: 512
2023-09-28 17:06: encoder_ffn_embed_dim: 256
2023-09-28 17:06: encoder_normalize_before: False
2023-09-28 17:06: epoch: 1000
2023-09-28 17:06: gnn_hidden_dim: 512
2023-09-28 17:06: gw_ratio: 0.3
2023-09-28 17:06: init_memory: False
2023-09-28 17:06: log_dir: 'experiments_rebuttal'
2023-09-28 17:06: log_step: 20
2023-09-28 17:06: lr: 0.001
2023-09-28 17:06: mem_slots: 16
2023-09-28 17:06: mode: 'train'
2023-09-28 17:06: model: 'GCN_GW'
2023-09-28 17:06: node2vec_emb_dim: 128
2023-09-28 17:06: null_attention: False
2023-09-28 17:06: num_layers: 2
2023-09-28 17:06: num_parts: 15000
2023-09-28 17:06: num_steps: 3
2023-09-28 17:06: regressive: False
2023-09-28 17:06: seed: 1
2023-09-28 17:06: self_attention: True
2023-09-28 17:06: shared_memory_attention: True
2023-09-28 17:06: test_ratio: 0.2
2023-09-28 17:06: topk: 3
2023-09-28 17:06: topk_ratio: 1.0
2023-09-28 17:06: train_ratio: 0.6
2023-09-28 17:06: use_nfm: False
2023-09-28 17:06: use_topk: False
2023-09-28 17:06: valid_ratio: 0.2
2023-09-29 02:50: test acc: 0.891904354095459
2023-09-29 02:57: epoch:849/1000 loss: 0.3021592157189465
2023-09-29 02:57: test acc: 0.8920064568519592
2023-09-29 03:03: epoch:859/1000 loss: 0.3023374043596642
2023-09-29 03:03: test acc: 0.8915389180183411
2023-09-29 03:10: epoch:869/1000 loss: 0.30202327854245703
2023-09-29 03:10: test acc: 0.8916573524475098
2023-09-29 03:17: epoch:879/1000 loss: 0.30115661383617176
2023-09-29 03:17: test acc: 0.8916348814964294
2023-09-29 03:24: epoch:889/1000 loss: 0.3020630015622557
2023-09-29 03:24: test acc: 0.8911939263343811
2023-09-29 03:31: epoch:899/1000 loss: 0.30076984343574614
2023-09-29 03:31: test acc: 0.892045259475708
2023-09-29 03:38: epoch:909/1000 loss: 0.30127625818875875
2023-09-29 03:38: test acc: 0.8918206691741943
2023-09-29 03:45: epoch:919/1000 loss: 0.3010542147579126
2023-09-29 03:45: test acc: 0.8914245963096619
2023-09-29 03:51: epoch:929/1000 loss: 0.301178597639642
2023-09-29 03:51: test acc: 0.8921248912811279
2023-09-29 03:58: epoch:939/1000 loss: 0.3007266415586459
2023-09-29 03:58: test acc: 0.8914695382118225
2023-09-29 04:04: epoch:949/1000 loss: 0.30089987461898476
2023-09-29 04:04: test acc: 0.8916308283805847
2023-09-29 04:11: epoch:959/1000 loss: 0.3008939212786483
2023-09-29 04:11: test acc: 0.8916798233985901
2023-09-29 04:17: epoch:969/1000 loss: 0.3011758649295393
2023-09-29 04:17: test acc: 0.891179621219635
2023-09-29 04:22: epoch:979/1000 loss: 0.30047627172159086
2023-09-29 04:22: test acc: 0.8911612033843994
2023-09-29 04:28: epoch:989/1000 loss: 0.3010178233621464
2023-09-29 04:28: test acc: 0.8913756012916565
2023-09-29 04:34: epoch:999/1000 loss: 0.30120000323683116
2023-09-29 04:34: test acc: 0.8916124105453491
2023-09-29 04:34: best_test_acc: 0.8935090899467468
2023-09-29 04:34: best epoch: 0
2023-09-29 04:34: []
2023-09-29 04:34: []
2023-09-29 04:34: overall accuraccy: 
2023-09-29 04:34: 0.8916124105453491
